t/AU/n,['town']
t/i/k,"['teak', 'tieck']"
t/i/l,"['teel', 'teal', 'teil']"
t/i/m,"['teem', 'team']"
t/i/n,['teen']
n/@/t,['nut']
t/i/d,"[""tea'd""]"
t/i/g,['teague']
p/U/tS/,['putsch']
g/@/st,"['gust', 'gutse']"
mAt/i/s,['matisse']
spl/i/t,['split']
spl/i/n,['spleen']
kant,"[""can't""]"
sm/&/k,['smack']
r/E/st,"['wrest', 'rest']"
fle/S/dAm/u/r,"[""fleches_d'amour""]"
hr/A/lf,['hrolf']
w/O/rm/T/,['warmth']
d/@/ns,['dunce']
d/@/nt,['dunt']
d/A/N/,['dong']
/D/E/ns,['thence']
g/O/bA,['gobat']
gl/U/n/S/,['glunch']
h/AU/l,['howl']
kArt/j/eI/,['cartier']
h/AU/f,['howff']
h/AU/s,['house/v']
w/U/lvz,['wolves']
l/i/,"['lea', 'li', 'lee', 'leigh', 'lie']"
h/AU/s,"['house/n', 'house']"
fr/A/sk,['frosk']
/D/oU/z,['those']
spr/I/N/,['spring']
/tS/eI/st,['chaste']
t/O/N/z,['tongs']
kl/oU/k,"['cloke', 'cloak']"
r/eI/D/,['rathe']
tr/oU/p,['trope']
dr/u/ss,['druce']
t/i/T/,['teeth']
s/I/st,"['cist', 'cyst']"
f/j/u/m,['fume']
f/j/u/g,['fugue']
f/j/u/d,"['feud', 'feod']"
f/j/u/z,"['fuse', 'fuze']"
f/j/u/r,['fuhr']
sp/i/r,"['spere', 'speer', 'speir', 'spier', 'spear']"
/A/nd/j/,['hendaye']
g/oU/vz,['goaves']
sp/i/d,['speed']
sp/i/n,['spean']
p/@/ls,['pulse']
p/@/lp,['pulp']
sp/i/k,['speak']
skw/O/,['squaw']
br/E/d/T/,['breadth']
p/U/S/,['push']
h/@/rts,['hertz']
d/&/ns,['dance']
f/@/rst,['first']
sAbAt/j/eI/,['sabatier']
s/@/r/dZ/,"['serge', 'surge']"
/tS/in,"[""ch'in""]"
t/O/ft,['toft']
dr/i/m,['dream']
dr/i/n,['drin']
dr/i/r,['drear']
huntsup,"[""hunt's-up""]"
bl/O/k,['blok']
f/aI/l,"['faille', 'pfeil', 'file']"
f/aI/n,['fine']
f/aI/k,"['fike', 'fyke']"
f/aI/f,"['fife', 'phyfe']"
f/aI/t,"['veit', 'fight']"
f/aI/v,['five']
f/aI/r,['fire']
f/aI/s,['fice']
dYkAS,['ducasse']
tr/i/r,['trier']
tr/i/t,['treat']
s/E/lf,['self']
h/i/f,['heaf']
tr/i/d,['treed']
l/O/n,['lawn']
l/O/g,['log']
l/O/d,['laud']
pr/eI/,"['pray', 'prey']"
l/O/s,['loss']
br/eI/n,['brain']
br/eI/l,"['braille', 'brale', 'brail']"
br/eI/k,"['break', 'brake']"
br/eI/d,['braid']
fr/@/nt,['front']
br/eI/z,"['braise', 'braze']"
br/eI/v,['brave']
m/A/nz,['mons']
h/i/k,['hic']
h/oU/rs,['hoarse']
gr/oU/T/,['growth']
w/E/ld,['weld']
fr/I/sk,['frisk']
gr/I/l,['grill']
gr/I/m,"['grimm', 'grim']"
gr/I/n,['grin']
w/E/lm,['whelm']
b/A/tS/,['botch']
gr/I/d,['grid']
v/E/nt,['vent']
gr/I/f,"['griffe', 'griff']"
gr/I/g,['grig']
w/E/lt,['welt']
w/E/lp,['whelp']
w/E/ls,['wels']
gr/I/p,"['grip', 'grippe']"
h/i/p,"['heep', 'heap']"
gr/I/t,['grit']
v/E/nd,['vend']
w/E/lz,"['welles', 'wells']"
n/aI/,"['ninetieth', 'nigh', 'nye']"
b/eI/b,['babe']
b/eI/l,"['bayle', 'bail', 'bale', 'beyle', 'bel']"
b/eI/n,"['bane', 'bain']"
b/eI/k,['bake']
b/eI/t,"['bate', 'bait']"
b/eI/s,['base']
s/@/N/,"['soong', 'sung']"
b/eI/z,['baize']
h/A/,"['hah', 'ha']"
fl/eI/S/,['fleche']
r/AU/z,['rouse']
r/AU/t,"['rowte', 'rout']"
sw/i/p,['sweep']
sw/i/s,['suisse']
sw/i/r,['sweer']
sw/i/t,"['suite', 'sweet']"
g/A/,['ga']
d/E/lf,['delf']
sv/E/lt,['svelte']
d/E/lt,['dealt']
d/E/lv,['delve']
d/E/lz,['dells']
sw/i/l,['sweal']
st/AU/S/,['stoush']
p/i/st,['piste']
m/@/N/,['mong']
kl/oU/zd,['closed']
kr/oU/,['crow']
g/aI/l,['guile']
/tS/@/r,"['chirre', 'chair', 'chirr', 'chare', 'churr']"
g/aI/d,['guide']
f/Oi/n,['foin']
f/Oi/l,['foil']
/tS/@/g,['chug']
/tS/@/f,"['chough', 'chuff']"
/tS/@/b,['chub']
/tS/@/m,['chum']
/tS/@/k,['chuck']
r/E/nd,['rend']
t/Oi/,['toy']
r/E/nt,['rent']
r/O/t,"['raught', 'wrought']"
de/T/shed,"[""death's-head""]"
r/O/s,"['rosse', 'ross']"
kl/@/tS/,['clutch']
gr/eI/,"['gray', 'greige', 'grey', 'griege']"
br/I/dZ/,['bridge']
p/A/ks,['pox']
p/A/kt,['pocked']
r/eI/t,['rate']
r/eI/v,['rave']
r/eI/p,['rape']
/dZ/AU/l,['jowl']
fl/O/nt,['flaunt']
/dZ/aI/ls,['giles']
vr/i/s,['vries']
r/eI/z,"['rase', 'raze', 'raise']"
r/eI/d,['raid']
r/eI/l,['rail']
/dZ/AU/r,['giaour']
r/eI/n,"['rain', 'rein', 'rayne', 'reign']"
r/eI/k,['rake']
/j/I/n,['yin']
/j/I/d,['yid']
m/A/sk,"['masque', 'mosque']"
/O/rf,"['orfe', 'orff']"
/j/I/p,['yip']
kr/@/p,['krupp']
kr/@/s,['crus']
kr/@/r,"['crare', 'crayer']"
kr/@/m,"['crumb', 'crum']"
s/I/T/,['sith']
kr/@/k,['cruck']
kr/@/d,['crud']
tr/&/S/,['trash']
/S/i/f,['sheaf']
sk/u/T/,"['scouth', 'skouth']"
/S/i/k,"['chic', 'sheik']"
/S/i/l,"['shiel', ""she'll""]"
/S/i/n,['sheen']
h/j/u/,"['hue', 'hew', 'hugh']"
/S/i/p,['sheep']
/S/i/r,"['sheer', 'shear']"
/S/i/t,['sheet']
f/i/ld,['field']
sn/aI/p,['snipe']
gArs/O/N,['garcon']
w/A/tS/,['watch']
sn/aI/d,['snide']
sw/@/N/,['swung']
s/i/n,['seen']
l/eI/d,"['lade', 'laid']"
l/eI/n,"['lain', 'lane']"
kl/u/t,['cloot']
l/eI/ms,"['lame', 'lames']"
l/eI/k,['lake']
h/ju/g/oU/,['hugo']
l/eI/v,['lave']
l/eI/t,['late']
l/eI/s,['lace']
w/aI/lst,['whilst']
/S/j/@/n,['hsien']
l/eI/z,"['lase', 'laze']"
l/i/dZ/,['liege']
fr/E/d,['fred']
s/I/n/tS/,"['cinch', 'sinh']"
fr/E/s,['fress']
fr/E/r,"['freres', 'frere']"
fr/E/t,['fret']
r/AU/nd,['round']
m/@/mp,['mump']
f/oU/r/T/,"['forth', 'fourth']"
s/AU/s,['souse']
s/AU/r,['sour']
s/O/rt,['sort']
s/O/rn,"['zorn', 'sorn']"
spr/E/nt,['sprent']
s/u/n,['soon']
/O/ks,['aux']
b/eI/tS/,['bache']
dr/O/,['draw']
h/j/u/dZ/,['huge']
w/&/t,['wat']
p/A/S/,['posh']
w/&/f,"['waf', 'waaf']"
w/&/g,['wag']
w/&/k,"['wack', 'whack']"
w/&/m,['wham']
g/O/lt,['galt']
kw/I/d,['quid']
kl/@/N/,['clung']
k/AU/z,['cowes']
An/j/E/l,['agnel']
k/AU/l,['cowl']
w/E/l/tS/,['welch']
v/j/E/n,['vienne']
l/&/nd,['land']
/&/N/k,['ankh']
l/&/ns,"['lance', 'launce']"
kw/I/s,['cuisse']
st/AU/nd,['stound']
pl/&/t,"['platte', 'plat']"
b/j/E/n,['bienne']
pl/&/k,"['plack', 'plaque']"
pl/&/n,['plan']
pl/i/tS/,['pleach']
pl/&/d,['plaid']
n/oU/t,"['note', 'nowt']"
n/oU/r,"[""nor'""]"
n/oU/p,['nope']
w/A/dZ/,['wodge']
n/oU/d,['node']
n/oU/n,"['known', 'none']"
n/oU/l,['knoll']
n/oU/m,"['gnome', 'nome']"
vlAm/&/Nk,['vlaminck']
/j/u/z,"['youse', 'yous', 'use/v']"
/j/u/t,['ute']
/j/u/v,"[""you've""]"
/j/u/s,['use/n']
/j/u/l,"['youl', ""you'll"", 'yule']"
d/Oi/t,"['doit', 'duit']"
/j/u/k,"['uke', 'yeuk']"
/j/u/d,"[""you'd""]"
l/@/n/dZ/,"['lunge', 'longe']"
s/Ou/,['sew']
p/@/nt,['punt']
h/A/rt,"['heart', 'hart', 'harte']"
sk/aI/t,['skite']
sk/aI/v,['skive']
skw/@/rm,['squirm']
skw/@/rl,['squirl']
w/U/dz,['woods']
sk/aI/f,['skeif']
kl/A/k,['clock']
t/&/sk,['task']
kl/A/n,['clon']
fl/E/dZ/d,['fledged']
kl/A/g,['clog']
kl/A/d,['clod']
s/&/ks,['sax']
kl/A/p,['clop']
kl/A/t,['clot']
sp/I/lt,['spilt']
p/eI/dZ/,['page']
b/eI/T/,['baith']
/j/oU/k,"['yoke', 'yolk']"
kl/E/nz,['cleanse']
/j/oU/r,['yore']
/j/oU/s,['jooss']
br/i/,"['bree', 'brie']"
/dZ/@/g,['jug']
/dZ/@/d,['judd']
tr/&/ps,['traps']
br/@/r,"[""br'er""]"
m/I/dst,['midst']
/dZ/@/s,['jus']
s/@/N/k,['sunk']
v/eI/ld,['veiled']
s/AU/,"['soufriere', 'sau']"
d/I/k,"['dick', 'dyck']"
d/I/l,['dill']
d/I/m,['dim']
d/I/n,['din']
w/@/rk,['work']
d/I/d,['did']
w/@/rl,"['whirl', ""where'll"", 'whorl']"
d/I/g,['dig']
w/@/rs,['worse']
p/A/N/,['pong']
w/@/rt,"['wort', 'wert', 'whort']"
w/@/rv,"[""where've""]"
d/I/p,['dip']
d/I/s,['dis']
d/I/t,['dit']
/T/oU/T/,['thoth']
kn/I/n,['knin']
dr/&/fts,['draughts']
/S/v/A/n,['schwann']
s/@/tS/,['such']
l/&/st,['last']
pr/u/n,['prune']
l/O/ft,['loft']
/S/&/ft,['shaft']
pr/u/f,['proof']
v/E/lp,['welp']
v/E/lt,['veld']
pr/u/t,"['prut', 'pruth']"
pr/u/v,['prove']
bwAt,['boite']
rAm/oU/,['rameau']
w/E/bd,['webbed']
k/A/nd,['khond']
bl/&/n/tS/,"['blanch', 'blanche']"
k/A/ns,['kans']
k/A/nt,['cant']
sn/oU/r,['snore']
s/&/S/,['sash']
br/U/ks,['brooks']
p/&/t,['pat']
p/&/s,['pass']
p/&/p,['pap']
p/&/n,"['panne', 'pan']"
p/&/m,['pam']
p/&/l,['pal']
p/&/k,"['pac', 'pack']"
dr/@/N/k,['drunk']
/oU/higinz,"[""o'higgins""]"
p/&/d,['pad']
skr/O/l,['scrawl']
r/i/T/,['wreath']
kw/i/n,"['queen', 'quean']"
kw/i/r,['queer']
m/E/ts,['metz']
/dZ/oU/ks,['joxe']
d/E/nz,['dens']
/&/kt,['act']
/&/ks,"['ax', 'axe']"
hiz/@/n,"[""his'n""]"
d/E/nt,['dent']
kl/oU/ts,['cloots']
d/Oi/ld,['doiled']
gr/I/pt,['gript']
v/u/Z/,['vouge']
OEl/A/nd,['oland']
m/@/mps,['mumps']
d/AU/t,"['dought', 'doubt']"
d/AU/s,"['dowse', 'douse']"
d/AU/p,['doup']
d/AU/n,['down']
g/eI/ss,['gaess']
d/AU/f,['dowf']
g/@/lf,['gulf']
w/j/br/I/N/,['weibring']
g/O/dAr,['godard']
g/@/lp,['gulp']
r/E/lm,['realm']
/tS/&/d,['chad']
p/A/mp,['pomp']
/tS/&/f,['chaff']
kl/I/ft,['clift']
g/A/lp,['golp']
gArdf/y/,"['garde-feu', 'garde-feux']"
/i/rd,['eared']
/tS/&/t,['chat']
katsp/O/,"[""cat's-paw""]"
gw/E/lf,['guelph']
g/A/lf,['golf']
/T/eI/n,"['thane', 'thegn']"
vAlrA,['walras']
gr/u/vd,['grooved']
k/oU/d,"['coad', 'code']"
fl/A/ks,['phlox']
k/oU/l,"['coal', 'cole', 'kohl']"
k/oU/n,"['cohn', 'cone']"
k/oU/k,"['coke', 'coak']"
d/Oi/l,['doyle']
k/oU/t,"['coat', 'cote']"
k/oU/v,['cove']
k/oU/p,['cope']
k/oU/s,"['cos', 'coss', 'kos', 'cose']"
k/oU/r,"['core', 'kor', 'corps']"
r/I/ts,['ritz']
k/oU/z,['coze']
br/I/N/k,['brink']
fl/@/mp,['flump']
p/@/n/tS/,['punch']
A/S/@/VAl,['a_cheval']
fr/&/tS/,['fratch']
t/aI/r,"['tire', 'tyre']"
/T/i/i/n,['theine']
s/@/dz,['suds']
kr/aI/z,['crises']
sm/&/S/,['smash']
b/&/N/z,['bangs']
b/&/N/k,"['banc', 'bank']"
/S/eI/,"['chay', 'chez', 'shay']"
kArkAs/O/n,['carcassonne']
f/A/b,['fob']
f/A/f,['pfaff']
f/A/g,['fog']
f/A/d,['fahd']
k/i/f,['kief']
f/A/k,['fac']
f/A/n,['phon']
f/A/r,"['far', 'farr']"
f/A/s,"['foss', 'fosse']"
f/A/p,['fop']
f/A/t,['phot']
n/eI/z,['naze']
sw/I/n/dZ/,['swinge']
n/eI/p,['nape']
m/O/,"['maw', 'mmaw']"
kr/Oi/,['croix']
n/eI/l,['nail']
n/eI/m,['name']
n/eI/n,['nane']
f/A/nts,['fontes']
br/aI/b,['bribe']
k/U/S/,"['kush', 'kusch', 'cush']"
br/aI/d,['bride']
n/&/p,"['knap', 'nappe', 'nap']"
n/&/t,['gnat']
br/aI/s,"['brice', 'bryce']"
n/&/k,['knack']
n/&/n,['nan']
n/&/b,['nab']
n/&/g,['nag']
/A/,"['ah', ""a'""]"
gr/A/NddAm,"['grande_dame', 'grandes_dames']"
b/O/,['baugh']
m/oU/lt,"['moult', 'molt']"
m/oU/ld,"['mould', 'mold']"
str/aI/k,['strike']
/O/t,['ought']
g/O/nt,['gaunt']
str/aI/f,['strife']
/O/p,['ob']
/O/n,['awn']
b/Oi/d,['boyd']
/O/l,"['all', 'awl']"
/O/k,['auk']
n/eI/v,"['nave', 'knave']"
/O/g,['hogue']
/O/f,['off']
b/Oi/l,"['boil', 'boyle']"
/O/d,['awed']
str/aI/v,['strive']
w/A/t,"['watt', 'wot', 'wat']"
skr/u/dZ/,['scrooge']
l/oU/T/,"['loath', 'loth']"
tr/A/mp,['trompe']
b/A/d,['bod']
sw/oU/rn,['sworn']
sk/I/t,['skit']
sk/I/p,"['skip', 'skipp']"
h/@/r/S/,['hersh']
sk/I/m,['skim']
sk/I/l,['skill']
sk/I/n,['skin']
v/&/N/,['vang']
sk/I/d,['skid']
sw/oU/rt,['swart']
sk/I/f,['skiff']
k/A/T/,['coth']
skr/I/mp,['scrimp']
/S/oU/rts,['shorts']
fl/&/ks,['flax']
d/@/r/T/,['dearth']
f/@/rd,"['fyrd', 'furred', 'ferd']"
m/Oi/l,['moil']
f/@/rn,['fern']
kl/oU/S/,['cloche']
f/@/rl,['furl']
br/aI/n,['brine']
m/Oi/t,['moit']
f/@/rt,['furth']
f/@/rz,['furze']
f/&/S/,['fash']
sm/@/dZ/,['smudge']
l/eI/D/,['lathe']
/dZ/eI/p,['jape']
kr/eI/k,"['crake', 'craik']"
/dZ/eI/k,['jake']
/dZ/eI/n,"['jane', 'jayne']"
/dZ/eI/l,"['gaol', 'jail']"
/dZ/eI/d,['jade']
b/eI/Z/,['beige']
br/aI/t,['bright']
sm/A/g,['smog']
sm/A/k,['smock']
l/E/N/k/T/,['length']
pr/&/N/,['prang']
/Z/AkmAr,['jacquemart']
g/i/k,['geek']
g/i/n,"['gean', 'gien']"
g/i/z,['guise']
dYk,['ducs']
g/i/s,['geese']
g/i/r,['gear']
l/U/ks,['luxe']
b/@/r/tS/,['birch']
tr/@/g,['trug']
tr/@/k,['truck']
tr/@/l,['trull']
tr/@/s,['truss']
Ak/O/Nt,['a_compte']
k/&/dZ/,['cadge']
br/oU/tS/,"['brooch', 'broach']"
p/A/ps,['pops']
bAl/O/N,"['ballon', 'balon']"
kr/&/ft,"['craft', 'kraft', 'krafft']"
z/I/v,['ziv']
l/i/d,"['lead/v', 'lead', 'lied']"
z/I/p,['zip']
l/i/g,['league']
sAr/oU/t,['sarraute']
l/i/k,"['leak', 'leek']"
l/i/l,"['lisle', 'leal', 'lille']"
l/i/n,"['ligne', 'lean']"
z/I/f,['zif']
l/i/r,"['lear', 'leer', 'lir', 'lehr']"
l/i/s,"['lease', 'lys']"
l/i/t,"['leet', 'leat']"
w/I/n/dZ/,['whinge']
l/i/v,"['leave', 'lieve']"
l/i/z,['lees']
l/I/ft,['lift']
/eI/dZ/,['age']
km/E/r,['khmer']
t/oU/p,['tope']
str/u/n,['strewn']
t/oU/r,['tore']
t/oU/t,"['tote', 'todt']"
k/A/lz,['cols']
t/oU/k,['toque']
t/oU/l,"['tole', 'toll']"
t/oU/m,['tome']
t/oU/n,['tone']
t/oU/b,"['tob', 'tobe']"
t/oU/d,['toad']
t/oU/f,['toph']
t/oU/g,['togue']
/AU/s,['owse']
/AU/r,"['our', 'hour']"
/AU/t,['out']
/dZ/u/ks,['jukes']
skr/I/pt,['script']
ad/@/rztu/N/,"[""adder's-tongue""]"
/D/eI/,"['thae', 'they']"
/AU/d,['oudh']
/AU/f,['ouphe']
m/oU/,"['mo', 'mow', 'mot']"
/AU/l,['owl']
bAr/oU/,['barrault']
pr/aI/,['pry']
st/@/r,"['stare', 'stir', 'stair']"
sk/A/rf,"['scarph', 'scarf']"
kw/Oi/t,['quoit']
h/I/ks,['hicks']
pl/Oi/,['ploy']
st/@/b,['stub']
sk/A/rp,"['scarp', 'scarpe']"
st/@/f,['stuff']
st/@/d,['stud']
st/@/k,['stuck']
st/@/n,['stun']
st/@/m,['stum']
st/@/l,['stull']
fr/E/S/,['fresh']
br/A/nz,['bronze']
st/u/,"['stu', 'stew']"
gr/aI/m,['grime']
gr/aI/d,['gride']
g/@/r/T/,['girth']
s/oU/,"['soh', 'so', 'sow']"
gr/aI/s,['grice']
gr/aI/p,['gripe']
Ad/y/,['a_deux']
fl/&/n/dZ/,['flange']
s/E/kst,"['sexed', 'sext']"
m/O/N/Z/,['monge']
b/AU/AU/t,['bow_out']
dw/E/lt,['dwelt']
/i/ts,['eats']
/S/E/nd,['shend']
r/U/r,['ruhr']
sw/@/m,['swum']
/tS/u/z,['choose']
r/U/k,['rook']
sw/@/r,"['sware', 'swear']"
n/@/rld,['knurled']
str/aI/d,['stride']
/I/lk,['ilk']
n/eI/,"['nay', 'neigh', 'nee', 'nae']"
gl/I/ts,['glitz']
t/&/s,"['tass', 'tace', 'tasse']"
t/&/p,['tap']
b/A/nd,['bond']
t/&/t,['tat']
t/&/b,['tab']
sp/E/lt,['spelt']
t/&/g,['tag']
t/&/d,['tad']
t/&/k,['tack']
b/A/nz,['bonze']
t/&/n,['tan']
t/&/m,['tam']
str/aI/p,['stripe']
k/eI/nz,['keynes']
s/@/r,"['sir', 'sayre', 'sur']"
/S/I/vz,['sheaves']
s/@/n,"['sun', 'sunn', 'son']"
fr/@/m,['from']
s/@/k,['suck']
s/@/f,['sough']
s/@/g,['sugg']
s/@/d,['sudd']
s/@/b,['sub']
/tS/I/nts,['chintz']
fl/@/ks,['flux']
sp/&/m,['spam']
sp/&/n,['span']
/S/r/u/,['shrew']
k/eI/dZ/,['cage']
sp/&/t,['spat']
h/&/t,['hat']
str/oU/m,['strome']
str/oU/l,['stroll']
k/@/n/j/p,['kneip']
str/oU/n,['strown']
kl/i/v,"['cleve', 'cleave']"
str/oU/k,['stroke']
str/oU/d,['strode']
str/oU/b,['strobe']
kl/i/k,"['cleek', 'clique']"
str/oU/v,['strove']
kl/i/n,['clean']
dr/A/pt,['dropt']
s/Oi/l,['soil']
l/I/N/ks,"['links', 'lynx']"
tr/@/mp,['trump']
fl/E/tS/,['fletch']
sAbA/j/O/N,['sabayon']
/T/A/N/,['thong']
m/A/,['ma']
b/oU/gs,['bogues']
p/i/,"['p', 'pea']"
hav/@/nt,"[""haven't""]"
gd/@/Nsk,['gdansk']
str/E/tS/t,['stretched']
w/aI/ld,"['wild', 'wyld', 'wilde']"
g/I/ft,['gift']
m/u/s,"['moose', 'mousse']"
sk/A/tS/,['scotch']
/j/E/ld,['yeld']
sk/E/tS/,['sketch']
l/aI/,"['lie', 'lye']"
z/I/st,['xyst']
d/@/dz,['duds']
tr/oU/,"['trop', 'trow']"
p/&/st,"['past', 'passed']"
/aI/v,"[""i've""]"
/aI/s,['ice']
/aI/r,['ire']
/aI/m,"[""i'm""]"
/aI/l,"[""i'll"", 'aisle', 'isle']"
/aI/n,['eyne']
/D/atsr/aI/t,"[""that's_right""]"
/aI/k,"['eyck', 'ike']"
m/eI/st,"['maist', 'mayst']"
/aI/d,"[""i'd"", 'eyed', 'ide']"
r/O/N/,['wrong']
s/I/N/k,"['cinque', 'sync', 'sink']"
st/AU/t,['stout']
s/E/lvz,['selves']
h/oU/ks,['hoax']
pl/@/s,['plus']
v/A/A/d,['vaad']
d/i/m,"['deem', 'deme']"
fl/@/S/,['flush']
pl/@/g,['plug']
br/u/n,"['bruhn', 'broun']"
/dZ/A/nz,['johns']
pl/@/k,['pluck']
r/i/mz,['reims']
pl/@/m,"['plum', 'plumb']"
m/AU/D/,['mouth/v']
spl/A/dZ/,['splodge']
kl/E/m,['clem']
kl/E/f,['clef']
bl/u/,"['blue', 'blew']"
fAm,"['femmes', 'femme']"
s/eI/v,['save']
n/u/d,['nude']
s/eI/t,['sate']
n/u/n,"['nun', 'noon']"
n/u/m,['neume']
kl/&/S/,['clash']
n/u/k,['nuke']
w/i/,"['oui', 'we', 'wee', 'whee']"
p/i/kAr,['piccard']
s/eI/f,"['safe', 'seif']"
n/u/t,['newt']
ledAm/A/Nd,"[""lait_d'amandes""]"
n/u/s,"['noose', 'nous']"
s/eI/n,"['sain', 'sane', 'seine']"
m/aI/nts,['mainz']
s/eI/l,"['sail', 'sale']"
n/u/z,['news']
/dZ/oU/lt,['jolt']
Arg/O/n,['argonne']
/E/ft,['eft']
kl/@/mp,['clump']
skw/@/r,['square']
lwAr,['loire']
k/A/rn,['carn']
kl/E/bz,['klebs']
kats/i/r,"[""cat's-ear""]"
/j/u/T/s,['youths']
/T/O/s,['zos']
k/AU/,['cow']
sp/i/tS/,['speech']
/tS/I/n/tS/,['chinch']
/A/rlz,['arles']
tw/aI/s,['twice']
gr/i/b,['grebe']
w/@/ns,['once']
kw/I/nt,['quint']
w/AU/,"['waw', 'wow']"
fl/I/N/,['fling']
kw/I/ns,['quince']
z/A/rf,['zarf']
p/A/rl,['parle']
p/A/rk,['park']
pr/i/k,['prick']
w/A/nd,['wand']
p/A/rd,['pard']
kr/AU/nd,['crowned']
p/A/rz,['pars']
/T/oU/l,['thole']
p/A/rt,['part']
p/A/rs,['parse']
bAr/i/,['barye']
p/I/T/,['pith']
l/&/tS/,['latch']
kv/A/s,"['quass', 'kvass']"
w/E/ft,['weft']
s/O/,['saw']
v/j/u/,['view']
r/oU/tS/,['roach']
/AU/,['ow']
sk/@/lpt,['sculpt']
g/AU/dZ/,['gouge']
/S/i/i/,['shii']
sr/i/,['sri']
h/eI/nt,"[""han't"", ""hain't""]"
st/@/rt,['sturt']
h/eI/nz,['haynes']
k/@/sk,['cusk']
k/@/sp,['cusp']
r/eI/kt,['raked']
st/@/rk,['stirk']
st/@/rn,['stern']
l/@/S/,['lush']
h/O/,"['hao', 'haw']"
s/u/t,['suit']
p/Oi/z,['poise']
An/j/oU/,['agneaux']
tr/u/T/,['truth']
p/Oi/l,['poil']
n/I/bz,['nibs']
r/&/z,['razz']
r/&/t,['rat']
t/I/t/S/,['titch']
r/&/p,"['wrap', 'rapp', 'rap']"
r/&/s,['wrasse']
r/&/m,['ram']
r/&/l,['rale']
r/&/n,['ran']
r/&/k,"['wrack', 'rack']"
r/&/d,['rad']
r/&/g,['rag']
r/&/f,"['raff', 'wraf']"
r/&/b,"['raab', 'rab']"
p/oU/rk,['pork']
fr/A/,['fra']
b/O/l/tS/,['balch']
p/E/rs,['perse']
p/E/rm,['perm']
k/oU/tS/,['coach']
d/A/dZ/,['dodge']
mam,"[""ma'am""]"
g/oU/S/,['gauche']
m/A/rkt,['marked']
/i/vz,['eaves']
br/&/kt,['bract']
/S/E/lf,['shelf']
/S/E/ld,['shelled']
gr/E/ks,['grex']
f/@/rm,['firm']
/S/E/lv,['shelve']
/I/nd,['ind']
/I/nf,['inf']
d/eI/,"['dey', 'daye', 'day']"
sp/E/nd,['spend']
n/@/rs,['nurse']
n/@/rv,['nerve']
sp/Oi/lt,['spoilt']
sp/E/ns,['spence']
n/@/rn,['nairn']
sp/E/nt,['spent']
n/@/rl,"['nurl', 'knurl']"
fl/O/,['flaw']
v/O/lf,"['wolff', 'wolf']"
r/I/dZ/,['ridge']
/dZ/A/S/,['josh']
sp/Oi/ld,['spoiled']
g/oU/rd,['gourd']
r/eI/S/,['resh']
skw/I/t/S/,['squitch']
pr/&/ns,['prance']
s/I/nd,['sind']
s/I/nz,['sins']
sl/E/d,['sled']
s/I/ns,['since']
fr/I/T/,['frith']
p/E/p,['pep']
g/@/k,['guck']
p/E/r,['pair']
g/@/n,['gun']
g/@/l,['gull']
g/@/m,['gum']
d/@/tS/,['dutch']
p/E/g,['peg']
g/@/r,['gare']
g/@/s,['gus']
p/E/k,['peck']
g/@/v,['guv']
g/@/t,['gut']
/Z/y/,"['jeux', 'jeu']"
sp/A/rk,['spark']
t/A/gz,['togs']
kr/i/S/,['creesh']
sp/A/rs,['sparse']
f/E/tS/,['fetch']
/tS/oU/ks,['chokes']
/dZ/eI/ks,['jakes']
fr/O/T/,['froth']
/eI/d,"['aid', 'ade', 'aide']"
sp/Oi/l,['spoil']
sm/E/l,['smell']
m/A/r/S/,['marsh']
br/&/S/,['brash']
sk/u/p,['scoop']
p/AU/ns,['pounce']
sk/u/t,['scoot']
b/@/r/T/,"['berth', 'birth']"
sk/u/l,['school']
l/oU/tS/,"['loche', 'loach']"
p/AU/nd,['pound']
l/AU/ndz,['lowndes']
/T/r/i/d,['thrid']
/tS/I/N/k,['chink']
b/E/tnWAr,['bete_noire']
/T/r/i/p,['threap']
f/oU/rst,['forced']
kw/E/tS/,['quetsch']
f/A/ks,"['fox', 'foxe']"
b/Oi/n,['boyne']
b/U/k,"['bukh', 'book']"
b/U/l,['bull']
sw/A/S/,['swash']
kAb/E/,['cabet']
sl/&/S/,['slash']
b/U/r,"['bur', 'boor']"
p/i/gAl,['pigalle']
oulzkroun,"[""owl's-crown""]"
mAdmwAz/E/l,['mademoiselle']
Artw/A/,['artois']
h/A/r/S/,['harsh']
f/I/l/T/,['filth']
f/@/nd,['fund']
/dZ/oU/nz,['jones']
kw/A/,['kwa']
skl/&/f,['sclaff']
kl/I/n/tS/,['clinch']
swAs/O/N,['soissons']
dev/@/lzbit,"[""devil's-bit""]"
/S/v/aI/ts,['schweiz']
m/@/S/,['mush']
s/@/r/tS/,['search']
zw/aI/g,['zweig']
f/eI/md,['famed']
f/y/lkEr,['volker']
d/I/sk,"['disc', 'disk']"
l/Oi/d,"['loyde', 'lloyd']"
tr/&/ns,"['trance', 'trans']"
h/aI/st,['heist']
br/i/D/d,['breathed']
st/I/tS/,['stitch']
gr/i/n/T/,['greenth']
kr/A/w,['crowe']
kr/A/p,['crop']
fl/O/n/tS/t,['flaunched']
kr/A/l,"['craal', 'kraal']"
kr/A/n,['kran']
kr/A/k,"['crock', 'croc', 'krak']"
h/&/tS/,['hatch']
spr/i/,['spree']
gh/@/r/S/,['guerche']
AbA/Z/u/r,['abatjour']
